date,_id,place_name,place_type,lat,lng,text
Wed Sep 30 16:59:14 +0000 2020,1311349899565432834,Manchester,city,53.482774,-2.242761,"""Pret italian prosciutto  baguette "" in #Manchester #UnitedKingdom https://t.co/wx9HOM1EZ2 #foodwaste #free"
Wed Sep 30 16:58:59 +0000 2020,1311349838399889408,Manchester,city,53.43129,-2.20083,"""Pret A Manger surplus food"" in #Manchester #UnitedKingdom https://t.co/ULePjhfvzH #foodwaste #free"
Wed Sep 30 16:58:38 +0000 2020,1311349747995807745,Manchester,city,53.43129,-2.20083,"""Pret A Manger surplus food"" in #Manchester #UnitedKingdom https://t.co/SXjFVBZkN4 #foodwaste #free"
Wed Sep 30 16:58:37 +0000 2020,1311349745491865600,Richmond,city,51.4278,-0.35898,"""Cavan - large white poppy seed bloomer"" in #Hampton #UnitedKingdom https://t.co/j4f2oG5pHm #foodwaste #free"
Wed Sep 30 16:58:27 +0000 2020,1311349702236016641,Richmond,city,51.4278,-0.35898,"""Cavan - large white poppy seed bloomer"" in #Hampton #UnitedKingdom https://t.co/488Z0B4Vbm #foodwaste #free"
Wed Sep 30 16:58:26 +0000 2020,1311349698960162817,Weston-super-Mare,city,51.349273,-2.934027,"""Pret tuna mayo baguette "" in #WestonsuperMare #UnitedKingdom https://t.co/rvyFH4nLXF #foodwaste #free"
Wed Sep 30 16:58:26 +0000 2020,1311349698050035712,Richmond,city,51.4278,-0.35898,"""Cavan - large white poppy seed bloomer"" in #Hampton #UnitedKingdom https://t.co/kqYsuAtCaB #foodwaste #free"
Wed Sep 30 16:58:17 +0000 2020,1311349659986788361,Weston-super-Mare,city,51.349273,-2.934027,"""Avocado and olive baguette "" in #WestonsuperMare #UnitedKingdom https://t.co/QKWehlPeVO #foodwaste #free"
Wed Sep 30 16:58:17 +0000 2020,1311349659118559232,Richmond,city,51.4278,-0.35898,"""Cavan - large white poppy seed bloomer"" in #Hampton #UnitedKingdom https://t.co/zr2ZckBYEJ #foodwaste #free"
Wed Sep 30 16:58:04 +0000 2020,1311349604865146880,Weston-super-Mare,city,51.349273,-2.934027,"""Butcher muesli bowl"" in #WestonsuperMare #UnitedKingdom https://t.co/LEdliJoSB9 #foodwaste #free"
